id,name,ordnance_id,sameAs
ocd-division/country:uk/cty:cambridgeshire/cpc:lode,Lode,E04001637,
ocd-division/country:uk/cty:cambridgeshire/cpc:stetchworth,Stetchworth,E04001642,
ocd-division/country:uk/cty:cambridgeshire/cpc:woodditton,Woodditton,E04001654,
ocd-division/country:uk/cty:cambridgeshire/cpc:swaffham_bulbeck,Swaffham Bulbeck,E04001645,
ocd-division/country:uk/cty:cambridgeshire/cpc:swaffham_prior,Swaffham Prior,E04001646,
ocd-division/country:uk/cty:cambridgeshire/cpc:haddenham,Haddenham,E04001632,
ocd-division/country:uk/cty:cambridgeshire/cpc:wilburton,Wilburton,E04001651,
ocd-division/country:uk/cty:cambridgeshire/cpc:sutton,Sutton,E04001644,
ocd-division/country:uk/cty:cambridgeshire/cpc:downham,Downham,E04001628,
ocd-division/country:uk/cty:cambridgeshire/cpc:soham,Soham,E04001641,
ocd-division/country:uk/cty:cambridgeshire/cpc:ely,Ely,E04001630,
ocd-division/country:uk/cty:cambridgeshire/cpc:isleham,Isleham,E04001633,
ocd-division/country:uk/cty:cambridgeshire/cpc:littleport,Littleport,E04001636,
ocd-division/country:uk/cty:cambridgeshire/cpc:stretham,Stretham,E04001643,
ocd-division/country:uk/cty:cambridgeshire/cpc:westley_waterless,Westley Waterless,E04001649,
ocd-division/country:uk/cty:cambridgeshire/cpc:brinkley,Brinkley,E04001622,
ocd-division/country:uk/cty:cambridgeshire/cpc:burrough_green,Burrough Green,E04001623,
ocd-division/country:uk/cty:cambridgeshire/cpc:dullingham,Dullingham,E04001629,
ocd-division/country:uk/cty:cambridgeshire/cpc:bottisham,Bottisham,E04001621,
ocd-division/country:uk/cty:cambridgeshire/cpc:kirtling,Kirtling,E04001635,
ocd-division/country:uk/cty:cambridgeshire/cpc:cheveley,Cheveley,E04001625,
ocd-division/country:uk/cty:cambridgeshire/cpc:ashley,Ashley,E04001620,
ocd-division/country:uk/cty:cambridgeshire/cpc:reach,Reach,E04001639,
ocd-division/country:uk/cty:cambridgeshire/cpc:burwell,Burwell,E04001624,
ocd-division/country:uk/cty:cambridgeshire/cpc:snailwell,Snailwell,E04001640,
