id,name,validFrom
ocd-division/country:ca/province:ab/fed:lakeland-2015,Lakeland,2015-08-02
ocd-division/country:ca/province:ab/fed:lethbridge,Lethbridge,1988-10-01
ocd-division/country:ca/province:ab/fed:medicine_hat-cardston-warner,Medicine Hat—Cardston—Warner,2015-08-02
ocd-division/country:ca/province:ab/fed:peace_river-westlock,Peace River—Westlock,2015-08-02
ocd-division/country:ca/province:ab/fed:red_deer-lacombe,Red Deer—Lacombe,2015-08-02
ocd-division/country:ca/province:ab/fed:red_deer-mountain_view,Red Deer—Mountain View,2015-08-02
ocd-division/country:ca/province:ab/fed:sherwood_park-fort_saskatchewan,Sherwood Park—Fort Saskatchewan,2015-08-02
ocd-division/country:ca/province:ab/fed:st._albert-edmonton,St. Albert—Edmonton,2015-08-02
ocd-division/country:ca/province:ab/fed:sturgeon_river-parkland,Sturgeon River—Parkland,2015-08-02
ocd-division/country:ca/province:ab/fed:yellowhead,Yellowhead,1979-03-26
ocd-division/country:ca/province:bc/fed:abbotsford,Abbotsford,2004-05-23
ocd-division/country:ca/province:bc/fed:burnaby_north-seymour,Burnaby North—Seymour,2015-08-02
